title,link,publication_year,mentions_bh,mentions_bonferroni,mentions_by
Transcriptomic profiles of muscular dystrophy with myositis (,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08873-2,2022,False,True,False
De novo annotation of lncRNA ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08887-w,2022,False,False,False
"Comprehensive analysis of differentially expressed profiles of mRNA, lncRNA, and miRNA of Yili geese ovary at different egg-laying stages",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08774-4,2022,False,False,False
Circular RNA expression profiles and ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08783-3,2022,False,False,False
Genome-wide identification and characterization of the ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08782-4,2022,False,False,False
Transcriptome analysis revealed gene expression feminization of testis after exogenous tetrodotoxin administration in pufferfish ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08787-z,2022,False,False,False
The extensive transgenerational transcriptomic effects of ocean acidification on the olfactory epithelium of a marine fish are associated with a better viral resistance,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08647-w,2022,True,False,False
Genome-wide alternative splicing profile in the posterior kidney of brown trout (,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08685-4,2022,False,False,False
Transcriptional changes in the peripheral blood leukocytes from Brangus cattle before and after tick challenge with ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08686-3,2022,False,False,False
Characterising genome architectures using genome decomposition analysis,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08616-3,2022,False,False,False
Harnessing changes in open chromatin determined by ATAC-seq to generate insulin-responsive reporter constructs,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08637-y,2022,False,False,False
Assessment of a polygenic hazard score for the onset of pre-clinical Alzheimer’s disease,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08617-2,2022,False,False,False
Effect of berberine on global modulation of lncRNAs and mRNAs expression profiles in patients with stable coronary heart disease,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08641-2,2022,False,False,False
